Epoch,Subject,Session,Recording,RecordingEpoch,Time,Stage
0,sub-00063,ses-2,sub-00063_ses-2_task-sleep_acq-20170223T0434_eeg,0,2017-02-23 04:32:55.448252+00:00,WAKE
1,sub-00063,ses-2,sub-00063_ses-2_task-sleep_acq-20170223T0434_eeg,1,2017-02-23 04:33:25.448252+00:00,WAKE
2,sub-00063,ses-2,sub-00063_ses-2_task-sleep_acq-20170223T0434_eeg,2,2017-02-23 04:33:55.448252+00:00,WAKE
3,sub-00063,ses-2,sub-00063_ses-2_task-sleep_acq-20170223T0434_eeg,3,2017-02-23 04:34:25.448252+00:00,WAKE
4,sub-00063,ses-2,sub-00063_ses-2_task-sleep_acq-20170223T0434_eeg,4,2017-02-23 04:34:55.448252+00:00,REM
5,sub-00063,ses-2,sub-00063_ses-2_task-sleep_acq-20170223T0434_eeg,5,2017-02-23 04:35:25.448252+00:00,WAKE
6,sub-00063,ses-2,sub-00063_ses-2_task-sleep_acq-20170223T0434_eeg,6,2017-02-23 04:35:55.448252+00:00,WAKE
7,sub-00063,ses-2,sub-00063_ses-2_task-sleep_acq-20170223T0434_eeg,7,2017-02-23 04:36:25.448252+00:00,WAKE
8,sub-00063,ses-2,sub-00063_ses-2_task-sleep_acq-20170223T0434_eeg,8,2017-02-23 04:36:55.448252+00:00,WAKE
9,sub-00063,ses-2,sub-00063_ses-2_task-sleep_acq-20170223T0434_eeg,9,2017-02-23 04:37:25.448252+00:00,WAKE
10,sub-00063,ses-2,sub-00063_ses-2_task-sleep_acq-20170223T0434_eeg,10,2017-02-23 04:37:55.448252+00:00,WAKE
11,sub-00063,ses-2,sub-00063_ses-2_task-sleep_acq-20170223T0434_eeg,11,2017-02-23 04:38:25.448252+00:00,WAKE
12,sub-00063,ses-2,sub-00063_ses-2_task-sleep_acq-20170223T0434_eeg,12,2017-02-23 04:38:55.448252+00:00,WAKE
13,sub-00063,ses-2,sub-00063_ses-2_task-sleep_acq-20170223T0434_eeg,13,2017-02-23 04:39:25.448252+00:00,WAKE
